2025-12-05 16:11:13.508 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-05 16:11:13.508 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-05 16:11:13.509 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-05 16:13:22.280 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2025-12-05 16:13:26.214 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-12-05 16:13:26.218 [main] INFO  com.mergedata.MessageDataApplication - Starting MessageDataApplication using Java 1.8.0_152 on mine with PID 4688 (D:\JetBrains\IdeaProjects\workOfJava\mergedata\target\classes started by 86156 in D:\JetBrains\IdeaProjects\workOfJava)
2025-12-05 16:13:26.219 [main] INFO  com.mergedata.MessageDataApplication - The following 1 profile is active: "mine"
2025-12-05 16:13:27.458 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-05 16:13:27.465 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-12-05 16:13:27.467 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-05 16:13:27.467 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-05 16:13:27.561 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-05 16:13:27.562 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1298 ms
2025-12-05 16:13:28.632 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-12-05 16:13:28.647 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-05 16:13:28.654 [main] INFO  com.mergedata.MessageDataApplication - Started MessageDataApplication in 2.882 seconds (JVM running for 3.246)
2025-12-05 16:13:31.570 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-05 16:13:31.570 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-05 16:13:31.571 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-05 16:14:05.455 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2025-12-05 16:14:09.302 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-12-05 16:14:09.306 [main] INFO  com.mergedata.MessageDataApplication - Starting MessageDataApplication using Java 1.8.0_152 on mine with PID 6676 (D:\JetBrains\IdeaProjects\workOfJava\mergedata\target\classes started by 86156 in D:\JetBrains\IdeaProjects\workOfJava)
2025-12-05 16:14:09.307 [main] INFO  com.mergedata.MessageDataApplication - The following 1 profile is active: "mine"
