2025-12-06 00:11:54.583 [main] INFO  com.mergedata.MessageDataApplication - Starting MessageDataApplication using Java 17.0.16 on mine with PID 14592 (D:\JetBrains\Projects\IdeaProjects\workOfJava\mergedata\target\classes started by Administrator in D:\JetBrains\Projects\IdeaProjects\workOfJava\showExcelSoap)
2025-12-06 00:11:54.584 [main] INFO  com.mergedata.MessageDataApplication - The following 1 profile is active: "mine"
2025-12-06 00:11:55.352 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-06 00:11:55.358 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-12-06 00:11:55.359 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-06 00:11:55.359 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-06 00:11:55.444 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-06 00:11:55.444 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 830 ms
2025-12-06 00:11:56.077 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-12-06 00:11:56.090 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-06 00:11:56.097 [main] INFO  com.mergedata.MessageDataApplication - Started MessageDataApplication in 1.861 seconds (JVM running for 2.275)
2025-12-06 00:12:06.941 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-06 00:12:06.941 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-06 00:12:06.942 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-06 00:12:07.456 [http-nio-8081-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-12-06 00:13:35.911 [http-nio-8081-exec-10] INFO  c.m.server.impl.ReportServiceImpl - 开始作废日期 2025-11-11 下的历史报表数据...
2025-12-06 00:13:35.917 [http-nio-8081-exec-10] INFO  c.m.server.impl.ReportServiceImpl - 历史报表数据作废完成.
2025-12-06 00:13:46.028 [http-nio-8081-exec-2] INFO  c.m.server.impl.ReportServiceImpl - 开始作废日期 2025-11-11 下的历史报表数据...
2025-12-06 00:13:46.031 [http-nio-8081-exec-2] INFO  c.m.server.impl.ReportServiceImpl - 历史报表数据作废完成.
2025-12-06 00:13:52.710 [http-nio-8081-exec-3] INFO  c.m.server.impl.ReportServiceImpl - 开始作废日期 2025-11-11 下的历史报表数据...
2025-12-06 00:13:52.711 [http-nio-8081-exec-3] INFO  c.m.server.impl.ReportServiceImpl - 历史报表数据作废完成.
2025-12-06 00:14:06.467 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-12-06 00:14:06.474 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
